"id";"datum";"fallzahl";"neue_faelle";"genesene";"todesfaelle";"7_tage_inzidenz";"rel_veraenderung_der_7_tage_inzidenz";"its_belegung";"4_tage_r_wert_berlin_rki"
"1192";"2021-04-17";"158856";"548";"144893";"3151";"152.4";"23.6";"26";"0"
"1189";"2021-04-16";"158308";"1288";"144284";"3147";"159.1";"54.3";"26.1";"0"
"1186";"2021-04-15";"157020";"1022";"143610";"3143";"155.2";"52";"26.3";"0"
"1183";"2021-04-14";"155998";"1327";"142755";"3134";"141.5";"26.4";"27.1";"0"
"1180";"2021-04-13";"154671";"677";"141946";"3128";"129";"6.9";"26.6";"0"
"1177";"2021-04-12";"153994";"539";"141202";"3127";"116.2";"-12.5";"26.3";"1.11"
"1174";"2021-04-11";"153455";"493";"140528";"3123";"118.3";"-9.4";"25.8";"1.08"
"1171";"2021-04-10";"152962";"643";"140245";"3123";"123.2";"-1.4";"24.9";"0.99"
"1168";"2021-04-09";"152319";"1019";"139794";"3122";"103.2";"-27.3";"23.8";"1.14"
"1165";"2021-04-08";"151300";"923";"139004";"3110";"102.1";"-28.5";"23.9";"1.18"
"1162";"2021-04-07";"150377";"545";"138211";"3098";"112";"-20";"23.7";"1.12"
"1159";"2021-04-06";"149832";"601";"137422";"3090";"120.6";"-16.3";"21.7";"0.96"
"1156";"2021-04-05";"149231";"194";"136605";"3086";"132.7";"-10.2";"21.2";"0.74"
"1153";"2021-04-04";"149037";"309";"135961";"3086";"130.7";"-11.3";"20.6";"0.6"
"1150";"2021-04-03";"148728";"778";"135571";"3082";"125";"-11.8";"20";"0.63"
"1147";"2021-04-02";"147950";"484";"135137";"3081";"141.9";"7.6";"19.8";"0.7"
"1144";"2021-04-01";"147466";"1205";"134566";"3071";"142.9";"12.6";"20.2";"0.93"
"1141";"2021-03-31";"146261";"1012";"133933";"3055";"140";"16.6";"19.3";"1"
"1138";"2021-03-30";"145249";"663";"133313";"3047";"144.1";"33.6";"18.9";"0.96"
"1135";"2021-03-29";"144586";"575";"132801";"3043";"147.9";"45.7";"17.8";"0.92"
"1132";"2021-03-28";"144011";"296";"132170";"3039";"147.3";"45.6";"18.4";"0.75"
"1129";"2021-03-27";"143715";"735";"131876";"3036";"141.7";"39.8";"18.3";"0.7"
"1126";"2021-03-26";"142980";"973";"131497";"3030";"131.9";"28.1";"18";"0.85"
"1123";"2021-03-25";"142007";"1006";"130911";"3026";"126.9";"26.1";"17.1";"1.03"
"1120";"2021-03-24";"141001";"1268";"130405";"3023";"120.1";"23.7";"16.8";"1.23"
"1117";"2021-03-23";"139733";"751";"129833";"3011";"107.9";"16.7";"16.6";"1.32"
"1114";"2021-03-22";"138982";"545";"129295";"2998";"101.5";"33.1";"15.8";"1.2"
"1111";"2021-03-21";"138437";"219";"128850";"2992";"101.1";"31.7";"15";"1.07"
"1108";"2021-03-20";"138218";"286";"128612";"2991";"101.4";"36.7";"16.4";"0.86"
"1105";"2021-03-19";"137932";"894";"128306";"2985";"103";"52.3";"16.5";"0.9"
"1102";"2021-03-18";"137038";"629";"127871";"2967";"100.6";"63.9";"16.8";"0.97"
"1099";"2021-03-17";"136409";"630";"127490";"2956";"97.1";"65";"17.3";"1.06"
"1096";"2021-03-16";"135779";"662";"127046";"2947";"92.5";"55.4";"16";"1.11"
"1093";"2021-03-15";"135117";"366";"126617";"2942";"76.2";"7";"16.9";"1.04"
"1090";"2021-03-14";"134751";"208";"126185";"2934";"76.8";"10.3";"16.7";"1"
"1087";"2021-03-13";"134543";"508";"126006";"2934";"74.2";"8";"16.9";"1.07"
"1084";"2021-03-12";"134035";"644";"125756";"2933";"67.6";"-2.9";"16.1";"1.22"
"1081";"2021-03-11";"133391";"553";"125314";"2928";"61.4";"-12.5";"17.1";"1.42"
"1078";"2021-03-10";"132838";"489";"124886";"2918";"58.8";"-15";"17.5";"1.46"
"1075";"2021-03-09";"132349";"287";"124463";"2902";"59.5";"-13.2";"18";"1.25"
"1072";"2021-03-08";"132062";"88";"124027";"2895";"71.2";"7.7";"17.7";"0.9"
"1069";"2021-03-07";"131974";"110";"123661";"2894";"69.6";"5.9";"17.1";"0.67"
"1066";"2021-03-06";"131864";"313";"123503";"2892";"68.7";"2.9";"17.8";"0.65"
"1063";"2021-03-05";"131551";"415";"123194";"2889";"69.6";"8.9";"18.6";"0.72"
"1060";"2021-03-04";"131136";"608";"122762";"2874";"70.1";"13.3";"18.1";"0.92"
"1057";"2021-03-03";"130528";"447";"122334";"2862";"69.2";"13.8";"18.1";"1.01"
"1054";"2021-03-02";"130081";"482";"121899";"2850";"68.6";"18";"17.6";"0.94"
"1051";"2021-03-01";"129599";"242";"121539";"2825";"66.1";"15.9";"16.9";"0.97"
"1048";"2021-02-28";"129357";"103";"121051";"2818";"65.7";"13.8";"17.4";"0.83"
"1045";"2021-02-27";"129254";"311";"120863";"2818";"66.7";"19.8";"17.8";"0.8"
"1042";"2021-02-26";"128943";"497";"120638";"2814";"63.9";"16.7";"18.1";"0.85"
"1039";"2021-02-25";"128446";"510";"120264";"2805";"61.9";"13.5";"18.4";"0.97"
"1036";"2021-02-24";"127936";"483";"119920";"2781";"60.8";"12.7";"19.1";"1.04"
"1033";"2021-02-23";"127453";"268";"119507";"2766";"58.1";"3.1";"19.4";"1.12"
"1030";"2021-02-22";"127185";"287";"119125";"2740";"57.1";"-0.4";"19.5";"0.9"
"1027";"2021-02-21";"126898";"73";"118635";"2728";"57.7";"1.2";"20.7";"0.92"
"1024";"2021-02-20";"126825";"252";"118433";"2727";"55.7";"-6.6";"21.6";"0.81"
"1021";"2021-02-19";"126573";"372";"118114";"2720";"54.8";"-10.3";"21.1";"0.88"
"1018";"2021-02-18";"126201";"475";"117598";"2702";"54.5";"-13.1";"20.5";"1.04"
